# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
8.85E+08,-4.43E-02,7.93E-01,-4.67E-01,-1.30E-01,-4.80E-01,-1.14E-01,-2.57E-02,7.87E-01,,0.794498818
9.00E+08,7.41E-02,8.19E-01,-4.46E-01,-6.16E-02,-4.55E-01,-4.66E-02,7.22E-02,8.08E-01,,0.822658161
9.15E+08,1.87E-01,8.23E-01,-4.20E-01,4.48E-03,-4.27E-01,1.31E-02,2.01E-01,8.02E-01,,0.843988261
9.30E+08,3.00E-01,8.03E-01,-3.98E-01,5.16E-02,-4.12E-01,6.74E-02,2.91E-01,7.89E-01,,0.857210026
9.45E+08,4.11E-01,7.65E-01,-3.70E-01,1.01E-01,-3.78E-01,1.29E-01,3.98E-01,7.52E-01,,0.868493577
9.60E+08,5.16E-01,7.04E-01,-3.42E-01,1.43E-01,-3.38E-01,1.78E-01,4.82E-01,7.00E-01,,0.873353084
9.75E+08,6.07E-01,6.31E-01,-3.11E-01,1.87E-01,-2.93E-01,2.09E-01,5.71E-01,6.40E-01,,0.875138706
9.90E+08,6.84E-01,5.40E-01,-2.76E-01,2.31E-01,-2.56E-01,2.40E-01,6.53E-01,5.57E-01,,0.87134476
1.01E+09,7.48E-01,4.40E-01,-2.35E-01,2.69E-01,-2.20E-01,2.64E-01,7.27E-01,4.59E-01,,0.868031565
1.02E+09,7.97E-01,3.22E-01,-1.85E-01,3.07E-01,-1.80E-01,2.99E-01,7.91E-01,3.30E-01,,0.859649002
1.04E+09,8.32E-01,1.86E-01,-1.28E-01,3.29E-01,-1.30E-01,3.23E-01,8.21E-01,2.07E-01,,0.852745396
1.05E+09,8.36E-01,3.97E-02,-6.25E-02,3.52E-01,-6.08E-02,3.49E-01,8.34E-01,4.76E-02,,0.837116707
1.07E+09,8.12E-01,-1.22E-01,4.88E-03,3.56E-01,5.43E-03,3.55E-01,8.13E-01,-8.73E-02,,0.821076098
1.08E+09,7.47E-01,-2.85E-01,8.59E-02,3.52E-01,8.44E-02,3.52E-01,7.51E-01,-2.62E-01,,0.799765234
1.10E+09,6.37E-01,-4.39E-01,1.66E-01,3.26E-01,1.75E-01,3.29E-01,6.53E-01,-4.11E-01,,0.773204753
1.11E+09,4.75E-01,-5.78E-01,2.46E-01,2.74E-01,2.54E-01,2.72E-01,5.00E-01,-5.52E-01,,0.748244151
1.13E+09,2.68E-01,-6.69E-01,3.13E-01,1.93E-01,3.14E-01,1.87E-01,3.03E-01,-6.54E-01,,0.720964033
1.14E+09,2.45E-02,-6.97E-01,3.49E-01,8.27E-02,3.50E-01,8.14E-02,5.49E-02,-7.00E-01,,0.697151101
1.16E+09,-2.32E-01,-6.43E-01,3.38E-01,-3.54E-02,3.46E-01,-3.84E-02,-2.04E-01,-6.58E-01,,0.683767343
1.17E+09,-4.68E-01,-5.04E-01,2.76E-01,-1.39E-01,2.79E-01,-1.47E-01,-4.48E-01,-5.28E-01,,0.688178117
1.19E+09,-6.44E-01,-2.87E-01,1.81E-01,-1.99E-01,1.77E-01,-2.05E-01,-6.40E-01,-3.03E-01,,0.704990473
1.20E+09,-7.35E-01,-2.62E-02,8.55E-02,-2.04E-01,8.37E-02,-2.03E-01,-7.31E-01,-4.86E-02,,0.735160527
1.22E+09,-7.31E-01,2.34E-01,1.28E-02,-1.76E-01,1.52E-02,-1.79E-01,-7.29E-01,2.34E-01,,0.767857115
1.23E+09,-6.53E-01,4.63E-01,-2.82E-02,-1.33E-01,-3.03E-02,-1.42E-01,-6.50E-01,4.63E-01,,0.800095223
1.25E+09,-5.26E-01,6.39E-01,-4.62E-02,-9.32E-02,-5.48E-02,-9.69E-02,-5.14E-01,6.50E-01,,0.827168089
1.26E+09,-3.74E-01,7.65E-01,-4.94E-02,-6.21E-02,-5.72E-02,-6.02E-02,-3.65E-01,7.71E-01,,0.851178805
1.28E+09,-2.11E-01,8.47E-01,-4.64E-02,-3.94E-02,-4.95E-02,-3.55E-02,-2.09E-01,8.48E-01,,0.873259749
1.29E+09,-4.66E-02,8.94E-01,-4.07E-02,-2.39E-02,-4.15E-02,-2.14E-02,-5.71E-02,8.85E-01,,0.895095291
1.31E+09,9.78E-02,9.02E-01,-3.41E-02,-1.28E-02,-3.45E-02,-1.19E-02,1.02E-01,8.91E-01,,0.907666633
1.32E+09,2.31E-01,8.88E-01,-2.85E-02,-5.87E-03,-2.90E-02,-4.59E-03,2.43E-01,8.82E-01,,0.917758318
1.34E+09,3.49E-01,8.58E-01,-2.26E-02,-1.16E-03,-2.23E-02,2.48E-04,3.67E-01,8.51E-01,,0.926052863
1.35E+09,4.53E-01,8.15E-01,-1.77E-02,1.58E-03,-1.69E-02,2.55E-03,4.76E-01,8.03E-01,,0.932756082
1.37E+09,5.47E-01,7.63E-01,-1.36E-02,2.99E-03,-1.26E-02,3.18E-03,5.66E-01,7.51E-01,,0.938950692
1.38E+09,6.29E-01,7.04E-01,-1.03E-02,3.57E-03,-9.56E-03,3.34E-03,6.49E-01,6.88E-01,,0.944180703
1.40E+09,7.00E-01,6.40E-01,-7.71E-03,3.62E-03,-7.48E-03,3.47E-03,7.12E-01,6.25E-01,,0.948812547
1.41E+09,7.62E-01,5.72E-01,-5.75E-03,3.53E-03,-5.63E-03,3.26E-03,7.79E-01,5.49E-01,,0.952689547
1.43E+09,8.13E-01,5.02E-01,-4.25E-03,3.09E-03,-4.19E-03,2.94E-03,8.17E-01,4.84E-01,,0.955705984
1.44E+09,8.57E-01,4.29E-01,-3.25E-03,2.76E-03,-3.19E-03,2.66E-03,8.74E-01,3.94E-01,,0.958345038
1.46E+09,8.92E-01,3.56E-01,-2.33E-03,2.39E-03,-2.35E-03,2.35E-03,8.94E-01,3.37E-01,,0.960319549
1.47E+09,9.20E-01,2.81E-01,-1.73E-03,2.08E-03,-1.75E-03,2.00E-03,9.31E-01,2.44E-01,,0.961670332
1.49E+09,9.41E-01,2.06E-01,-1.30E-03,1.76E-03,-1.23E-03,1.75E-03,9.44E-01,1.81E-01,,0.962934726
1.50E+09,9.54E-01,1.33E-01,-9.88E-04,1.47E-03,-9.17E-04,1.43E-03,9.60E-01,1.02E-01,,0.963231348
1.52E+09,9.62E-01,5.90E-02,-7.17E-04,1.23E-03,-6.36E-04,1.14E-03,9.64E-01,3.97E-02,,0.963509449
1.53E+09,9.63E-01,-1.34E-02,-5.21E-04,1.00E-03,-4.89E-04,9.27E-04,9.65E-01,-4.62E-02,,0.963488975
1.55E+09,9.59E-01,-8.39E-02,-3.68E-04,8.29E-04,-4.14E-04,7.37E-04,9.56E-01,-1.04E-01,,0.962955846
1.56E+09,9.51E-01,-1.55E-01,-2.62E-04,6.59E-04,-2.91E-04,6.36E-04,9.45E-01,-1.93E-01,,0.963336955
1.58E+09,9.36E-01,-2.22E-01,-1.87E-04,5.27E-04,-1.91E-04,5.23E-04,9.30E-01,-2.34E-01,,0.962223228
1.59E+09,9.18E-01,-2.90E-01,-1.67E-04,3.84E-04,-1.53E-04,3.49E-04,9.10E-01,-3.23E-01,,0.962985431
1.61E+09,8.95E-01,-3.54E-01,-1.34E-04,2.79E-04,-1.10E-04,2.94E-04,8.86E-01,-3.74E-01,,0.962560862
1.62E+09,8.67E-01,-4.17E-01,-1.37E-04,2.21E-04,-1.28E-04,2.15E-04,8.55E-01,-4.44E-01,,0.962362745
